date,country,campaign_id,IMPRESSION_1,campaign_name,checkout_value,checkout_value_micro,checkouts,clicks,conversions,spend,spend_micro,date_range_start,date_range_end
2025-09-23,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,13.0,,,2025-09-03,2025-12-01
2025-09-25,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,6.0,,,2025-09-03,2025-12-01
2025-09-26,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,21.0,,,2025-09-03,2025-12-01
2025-09-27,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,1.0,,,2025-09-03,2025-12-01
2025-09-28,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,2.0,,,2025-09-03,2025-12-01
2025-09-29,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,5.0,,,2025-09-03,2025-12-01
2025-09-30,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,12.0,,,2025-09-03,2025-12-01
2025-10-03,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,6.0,,,2025-09-03,2025-12-01
2025-10-04,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,18.0,,,2025-09-03,2025-12-01
2025-10-16,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,8.0,,,2025-09-03,2025-12-01
2025-11-02,US,626755902689,,TNT_CVR_Prospecting_Catalog,,,,,10.0,,,2025-09-03,2025-12-01
2025-11-15,US,626755902381,,TNT_CVR_Retargeting_Catalog,,,,,1.0,,,2025-09-03,2025-12-01
2025-11-24,US,626755499613,19.0,TNT_CVR_Retargeting_SiteVisitors,,,,,,0.201041,201041.0,2025-09-03,2025-12-01
2025-11-25,US,626755499613,152.0,TNT_CVR_Retargeting_SiteVisitors,,,,2.0,18.0,1.861806,1861806.0,2025-09-03,2025-12-01
2025-11-25,US,626755902381,482.0,TNT_CVR_Retargeting_Catalog,,,,4.0,315.0,3.153637,3153637.0,2025-09-03,2025-12-01
2025-11-26,US,626755499613,581.0,TNT_CVR_Retargeting_SiteVisitors,,,,4.0,40.0,25.976072,25976072.0,2025-09-03,2025-12-01
2025-11-26,US,626755902381,2688.0,TNT_CVR_Retargeting_Catalog,1680.0,1680000000.0,2.0,22.0,321.0,26.782113,26782113.0,2025-09-03,2025-12-01
2025-11-27,US,626755499613,1506.0,TNT_CVR_Retargeting_SiteVisitors,,,,3.0,101.0,121.112847,121112847.0,2025-09-03,2025-12-01
2025-11-27,US,626755902381,7079.0,TNT_CVR_Retargeting_Catalog,690.0,690000000.0,1.0,31.0,406.0,81.211852,81211852.0,2025-09-03,2025-12-01
2025-11-28,US,626755499613,4529.0,TNT_CVR_Retargeting_SiteVisitors,1940.0,1940000000.0,2.0,24.0,476.0,375.0,375000000.0,2025-09-03,2025-12-01
2025-11-28,US,626755902381,10297.0,TNT_CVR_Retargeting_Catalog,1020.0,1020000000.0,1.0,71.0,820.0,125.0,125000000.0,2025-09-03,2025-12-01
2025-11-29,US,626755499613,5717.0,TNT_CVR_Retargeting_SiteVisitors,590.0,590000000.0,1.0,34.0,248.0,375.0,375000000.0,2025-09-03,2025-12-01
2025-11-29,US,626755902381,14135.0,TNT_CVR_Retargeting_Catalog,750.0,750000000.0,1.0,80.0,829.0,125.0,125000000.0,2025-09-03,2025-12-01
2025-11-30,US,626755499613,5889.0,TNT_CVR_Retargeting_SiteVisitors,,,,25.0,158.0,309.0,309000000.0,2025-09-03,2025-12-01
2025-11-30,US,626755902381,12587.0,TNT_CVR_Retargeting_Catalog,,,,83.0,425.0,103.0,103000000.0,2025-09-03,2025-12-01
2025-12-01,US,626755499613,6371.0,TNT_CVR_Retargeting_SiteVisitors,,,,38.0,,291.02173,291021730.0,2025-09-03,2025-12-01
2025-12-01,US,626755902381,10005.0,TNT_CVR_Retargeting_Catalog,,,,65.0,,91.079724,91079724.0,2025-09-03,2025-12-01
